H.ROOT-SERVERS.NET 2001:0500:0001:0000:0000:0000:803f:0235 {}
H.ROOT-SERVERS.NET 128.63.2.53 {}
I.ROOT-SERVERS.NET 2001:07fe:0000:0000:0000:0000:0000:0053 {}
I.ROOT-SERVERS.NET 192.36.148.17 {}
E2.GTLD-SERVERS.NET 192.12.94.31 {}
K.ROOT-SERVERS.NET 193.0.14.129 {}
K.ROOT-SERVERS.NET 2001:07fd:0000:0000:0000:0000:0000:0001 {}
G.GTLD-SERVERS.NET 192.42.93.30 {}
B.NS.SE 2001:067c:254c:0301:0000:0000:0000:0053 {}
B.NS.SE 192.36.133.107 {}
K.GTLD-SERVERS.NET 192.52.178.30 {}
